IdReserva,IdHotel,IdTurista,IdActividad,IdTransporte,TotalReserva,DiasReserva,FechaLlegada
14095,98,1,1001,1002,2191.00,8,2023-04-22 00:00:00
14096,102,2,1011,1003,1815.00,5,2021-11-28 00:00:00
14097,105,3,1012,1004,2004.00,4,2020-01-10 00:00:00
14098,106,4,1014,1005,1713.00,5,2022-06-09 00:00:00
14099,107,5,1015,1006,821.00,1,2020-09-10 00:00:00
14100,110,6,1018,1008,1271.00,2,2021-08-15 00:00:00
14101,111,7,1021,1009,1664.00,5,2020-10-15 00:00:00
14102,112,8,1025,1010,2746.00,9,2022-03-15 00:00:00
14103,114,9,1027,1011,872.00,6,2022-03-11 00:00:00
14104,115,10,1028,1012,1164.00,3,2022-06-15 00:00:00
14105,117,11,1032,1013,1326.00,8,2020-11-08 00:00:00
14106,118,12,1038,1014,1678.00,8,2020-09-01 00:00:00
14107,119,13,1039,1016,1415.00,3,2020-12-03 00:00:00
14108,120,14,1041,1017,2091.00,5,2019-01-12 00:00:00
14109,121,15,1042,1018,1970.00,6,2021-06-01 00:00:00
14110,122,16,1044,1019,3209.00,7,2020-02-26 00:00:00
14111,123,17,1045,1020,2900.00,9,2019-02-28 00:00:00
14112,124,18,1046,1021,711.00,3,2022-04-25 00:00:00
14113,126,19,1054,1022,787.00,2,2022-09-12 00:00:00
14114,130,20,1067,1023,2949.00,9,2022-03-21 00:00:00
14115,131,21,1069,1024,2923.00,5,2023-09-03 00:00:00
14116,133,22,1074,1025,2624.00,7,2021-04-18 00:00:00
14117,140,23,1076,1026,1116.00,6,2022-10-12 00:00:00
14118,142,24,1079,1027,662.00,7,2020-02-21 00:00:00
14119,143,25,1082,1028,485.00,4,2022-12-15 00:00:00
14120,144,26,1084,1029,3088.00,8,2022-09-26 00:00:00
14121,147,27,1086,1030,1166.00,1,2023-02-20 00:00:00
14122,150,28,1092,1031,2540.00,7,2020-10-27 00:00:00
14123,151,29,1096,1032,831.00,1,2020-12-14 00:00:00
14124,152,30,1100,1033,581.00,1,2019-04-05 00:00:00
14125,153,31,1112,1034,1206.00,6,2019-07-26 00:00:00
14126,154,32,1114,1035,3668.00,9,2021-08-21 00:00:00
14127,159,33,1118,1036,512.00,1,2023-06-01 00:00:00
14128,163,34,1120,1037,1596.00,5,2019-05-18 00:00:00
14129,166,35,1121,1038,2025.00,6,2022-02-05 00:00:00
14130,168,36,1123,1039,3009.00,9,2020-04-05 00:00:00
14131,172,37,1127,1040,1721.00,8,2022-05-19 00:00:00
14132,173,38,1128,1041,1845.00,9,2021-07-27 00:00:00
14133,179,39,1135,1042,2139.00,6,2022-10-05 00:00:00
14134,182,40,1136,1043,1462.00,3,2022-08-11 00:00:00
14135,183,41,1138,1044,1441.00,1,2022-06-02 00:00:00
14136,184,42,1139,1045,2803.00,9,2019-04-18 00:00:00
14137,185,43,1140,1046,1825.00,6,2022-06-06 00:00:00
14138,186,44,1142,1047,2406.00,8,2023-03-24 00:00:00
14139,187,45,1144,1048,822.00,2,2022-09-30 00:00:00
14140,189,46,1146,1049,1246.00,5,2022-11-08 00:00:00
14141,190,47,1148,1050,2350.00,5,2023-02-16 00:00:00
14142,194,48,1149,1051,3911.00,9,2023-03-26 00:00:00
14143,195,49,1152,1052,1744.00,2,2020-12-16 00:00:00
14144,198,50,1155,1053,1037.00,2,2021-03-19 00:00:00
14145,199,51,1157,1054,1839.00,6,2019-09-15 00:00:00
14146,205,52,1159,1055,1292.00,4,2020-01-07 00:00:00
14147,207,53,1160,1056,1941.00,8,2022-06-18 00:00:00
14148,208,54,1163,1057,1297.00,4,2020-07-22 00:00:00
14149,210,55,1164,1058,1807.00,6,2022-10-29 00:00:00
14150,211,56,1169,1059,1645.00,8,2021-08-16 00:00:00
14151,213,57,1173,1060,1536.00,6,2020-09-27 00:00:00
14152,214,58,1174,1061,1340.00,3,2019-12-30 00:00:00
14153,221,59,1178,1062,1685.00,3,2023-05-24 00:00:00
14154,223,60,1180,1063,1420.00,7,2022-06-13 00:00:00
14155,224,61,1183,1064,2207.00,5,2021-06-03 00:00:00
14156,225,62,1187,1065,403.00,2,2021-05-28 00:00:00
14157,226,63,1189,1066,2499.00,6,2022-03-17 00:00:00
14158,232,64,1190,1067,1363.00,2,2019-03-20 00:00:00
14159,237,65,1194,1068,1105.00,1,2023-01-30 00:00:00
14160,238,66,1195,1069,1068.00,2,2019-02-11 00:00:00
14161,239,67,1196,1070,742.00,2,2019-10-12 00:00:00
14162,240,68,1198,1071,1345.00,4,2022-10-28 00:00:00
14163,241,69,1204,1072,2564.00,8,2019-07-21 00:00:00
14164,243,70,1208,1073,643.00,1,2022-07-12 00:00:00
14165,244,71,1211,1074,1919.00,6,2019-06-25 00:00:00
14166,246,72,1216,1075,596.00,2,2021-06-01 00:00:00
14167,250,73,1217,1076,2056.00,5,2019-01-21 00:00:00
14168,252,74,1219,1077,935.00,1,2021-01-17 00:00:00
14169,254,75,1220,1078,2663.00,8,2021-10-03 00:00:00
14170,256,76,1222,1079,2420.00,9,2022-07-20 00:00:00
14171,257,77,1223,1080,1271.00,7,2021-01-18 00:00:00
14172,260,78,1225,1081,1852.00,9,2020-01-06 00:00:00
14173,262,79,1226,1082,2279.00,5,2021-04-08 00:00:00
14174,264,80,1227,1083,1695.00,3,2022-06-19 00:00:00
14175,268,81,1228,1085,917.00,3,2022-12-08 00:00:00
14176,269,82,1229,1086,1867.00,5,2021-04-20 00:00:00
14177,272,83,1230,1087,1340.00,8,2020-11-09 00:00:00
14178,277,84,1231,1088,767.00,9,2019-10-21 00:00:00
14179,279,85,1232,1089,3447.00,8,2022-08-08 00:00:00
14180,280,86,1235,1090,2672.00,5,2022-06-02 00:00:00
14181,288,87,1238,1091,1816.00,6,2019-02-19 00:00:00
14182,290,88,1241,1092,500.00,1,2019-09-22 00:00:00
14183,294,89,1248,1093,1415.00,1,2019-05-04 00:00:00
14184,302,90,1253,1094,1520.00,8,2020-01-06 00:00:00
14185,303,91,1255,1095,2195.00,6,2022-12-01 00:00:00
14186,305,92,1258,1096,1720.00,9,2021-06-21 00:00:00
14187,306,93,1265,1097,2463.00,5,2021-05-14 00:00:00
14188,307,94,1269,1098,2731.00,8,2023-06-17 00:00:00
14189,308,95,1270,1099,1085.00,2,2021-01-01 00:00:00
14190,309,96,1272,1100,922.00,3,2019-12-30 00:00:00
14191,311,97,1273,1101,2982.00,9,2022-10-27 00:00:00
14192,312,98,1276,1102,1987.00,7,2019-02-22 00:00:00
14193,317,99,1277,1103,883.00,2,2022-05-25 00:00:00
14194,318,100,1278,1104,253.00,1,2019-04-17 00:00:00
14195,319,101,1279,1105,1237.00,9,2022-05-07 00:00:00
14196,320,102,1284,1106,2737.00,8,2019-12-07 00:00:00
14197,329,103,1285,1107,2476.00,6,2021-11-03 00:00:00
14198,330,104,1288,1108,937.00,3,2023-06-05 00:00:00
14199,332,105,1291,1109,1565.00,4,2023-07-24 00:00:00
14200,333,106,1292,1110,1908.00,5,2019-08-22 00:00:00
14201,335,107,1293,1111,783.00,2,2022-08-14 00:00:00
14202,338,108,1294,1112,1250.00,3,2020-06-27 00:00:00
14203,339,109,1298,1113,1711.00,9,2020-11-13 00:00:00
14204,341,110,1304,1114,1101.00,6,2023-03-18 00:00:00
14205,345,111,1307,1115,510.00,1,2022-09-26 00:00:00
14206,346,112,1314,1116,798.00,1,2020-05-10 00:00:00
14207,347,113,1315,1117,980.00,5,2022-10-26 00:00:00
14208,348,114,1318,1118,1315.00,3,2020-09-28 00:00:00
14209,349,115,1319,1119,2456.00,8,2020-02-03 00:00:00
14210,350,116,1320,1120,1252.00,4,2019-01-22 00:00:00
14211,351,117,1322,1121,3159.00,8,2020-07-07 00:00:00
14212,352,118,1327,1122,1505.00,7,2022-04-07 00:00:00
14213,355,119,1329,1123,1098.00,1,2021-02-17 00:00:00
14214,360,120,1330,1124,1871.00,6,2023-01-02 00:00:00
14215,363,121,1333,1125,1247.00,3,2019-09-22 00:00:00
14216,364,122,1336,1126,2173.00,8,2022-06-05 00:00:00
14217,365,123,1337,1127,274.00,1,2021-06-10 00:00:00
14218,367,124,1338,1128,2415.00,9,2021-11-24 00:00:00
14219,370,125,1341,1129,1085.00,2,2021-10-24 00:00:00
14220,371,126,1343,1130,3332.00,7,2020-03-24 00:00:00
14221,372,127,1344,1131,1932.00,5,2021-08-05 00:00:00
14222,373,128,1347,1132,562.00,2,2023-08-06 00:00:00
14223,374,129,1348,1133,1978.00,8,2019-08-13 00:00:00
14224,377,130,1349,1134,967.00,1,2023-06-29 00:00:00
14225,379,131,1351,1135,1176.00,3,2022-05-29 00:00:00
14226,380,132,1352,1136,1428.00,6,2021-04-27 00:00:00
14227,384,133,1353,1137,1428.00,2,2022-03-14 00:00:00
14228,385,134,1357,1138,1767.00,6,2023-01-14 00:00:00
14229,390,135,1362,1139,3648.00,9,2020-06-16 00:00:00
14230,394,136,1364,1140,1111.00,1,2023-05-07 00:00:00
14231,395,137,1367,1141,1971.00,5,2019-06-08 00:00:00
14232,397,138,1368,1142,3331.00,7,2019-03-13 00:00:00
14233,398,139,1370,1143,1510.00,5,2022-04-22 00:00:00
14234,400,140,1377,1144,1672.00,5,2023-08-07 00:00:00
14235,401,141,1378,1145,2862.00,7,2020-03-25 00:00:00
14236,405,142,1379,1146,557.00,9,2023-02-26 00:00:00
14237,406,143,1383,1147,425.00,1,2021-08-20 00:00:00
14238,408,144,1387,1148,2233.00,7,2019-12-26 00:00:00
14239,410,145,1390,1149,2574.00,7,2019-01-08 00:00:00
14240,411,146,1391,1150,780.00,4,2021-01-28 00:00:00
14241,415,147,1392,1151,1150.00,4,2021-04-02 00:00:00
14242,417,148,1393,1152,3175.00,9,2022-09-15 00:00:00
14243,418,149,1395,1153,850.00,3,2020-04-28 00:00:00
14244,419,150,1396,1154,2056.00,4,2020-10-30 00:00:00
14245,420,151,1399,1155,1283.00,6,2023-06-16 00:00:00
14246,423,152,1400,1156,1882.00,9,2022-10-07 00:00:00
14247,424,153,1401,1157,2625.00,9,2020-12-14 00:00:00
14248,425,154,1403,1158,2401.00,8,2021-08-27 00:00:00
14249,426,155,1406,1159,1058.00,3,2019-12-30 00:00:00
14250,427,156,1407,1160,1412.00,7,2019-11-02 00:00:00
14251,428,157,1414,1161,3123.00,9,2022-06-13 00:00:00
14252,431,158,1418,1162,948.00,3,2021-08-14 00:00:00
14253,435,159,1420,1163,650.00,3,2021-06-14 00:00:00
14254,436,160,1426,1164,2011.00,6,2020-10-27 00:00:00
14255,437,161,1432,1165,1768.00,9,2019-02-22 00:00:00
14256,438,162,1436,1166,2521.00,8,2021-01-06 00:00:00
14257,442,163,1441,1167,1771.00,6,2019-05-16 00:00:00
14258,444,164,1448,1168,3211.00,7,2020-12-10 00:00:00
14259,448,165,1449,1169,2892.00,7,2023-03-27 00:00:00
14260,455,166,1450,1170,1357.00,6,2021-01-31 00:00:00
14261,456,167,1453,1171,411.00,1,2021-02-23 00:00:00
14262,457,168,1454,1172,3155.00,7,2020-02-15 00:00:00
14263,460,169,1456,1173,1417.00,4,2023-05-22 00:00:00
14264,461,170,1457,1174,2038.00,8,2019-05-23 00:00:00
14265,463,171,1464,1175,2309.00,4,2019-09-16 00:00:00
14266,464,172,1465,1176,3119.00,9,2022-01-12 00:00:00
14267,465,173,1469,1177,798.00,7,2022-03-22 00:00:00
14268,466,174,1470,1178,3445.00,9,2021-09-15 00:00:00
14269,467,175,1473,1179,2060.00,7,2021-05-07 00:00:00
14270,470,176,1474,1180,1314.00,1,2020-02-12 00:00:00
14271,472,177,1475,1182,3286.00,8,2023-03-05 00:00:00
14272,477,178,1476,1183,843.00,4,2021-01-03 00:00:00
14273,478,179,1477,1184,1109.00,4,2022-12-17 00:00:00
14274,479,180,1478,1185,3229.00,9,2021-04-03 00:00:00
14275,481,181,1479,1186,2635.00,8,2021-05-12 00:00:00
14276,483,182,1482,1187,2058.00,5,2020-06-11 00:00:00
14277,484,183,1484,1188,1368.00,3,2021-06-22 00:00:00
14278,485,184,1487,1189,1853.00,4,2022-05-28 00:00:00
14279,486,185,1488,1190,1318.00,6,2019-01-10 00:00:00
14280,487,186,1490,1191,1192.00,6,2020-07-29 00:00:00
14281,490,187,1497,1192,651.00,2,2019-12-14 00:00:00
14282,491,188,1506,1194,1465.00,8,2020-03-16 00:00:00
14283,492,189,1512,1195,1062.00,4,2021-11-11 00:00:00
14284,495,190,1513,1196,1225.00,8,2023-01-15 00:00:00
