IDHotel,IDAmenidad,NombreAmenidad
21,1,Cancha de tenis
21,2,Gimnasio
21,3,Salon de eventos
21,4,Area de juegos
21,5,Gimnasio
21,6,Salon de eventos
21,7,Area de juegos
21,8,Area de juegos
21,9,Area de juegos
21,10,Piscina
21,11,Piscina
21,12,Salon de eventos
21,13,Area de juegos
21,14,Cancha de tenis
21,15,Gimnasio
21,16,Salon de eventos
21,17,Gimnasio
21,18,Salon de eventos
21,19,Gimnasio
21,20,Spa
21,21,Spa
21,22,Salon de eventos
21,23,Spa
21,24,Piscina
21,25,Area de juegos
21,26,Piscina
21,27,Spa
21,28,Cancha de tenis
21,29,Salon de eventos
21,30,Piscina
21,31,Gimnasio
21,32,Area de juegos
21,33,Gimnasio
21,34,Cancha de tenis
21,35,Piscina
21,36,Piscina
21,37,Gimnasio
21,38,Salon de eventos
21,39,Piscina
21,40,Piscina
21,41,Area de juegos
21,42,Cancha de tenis
21,43,Spa
21,44,Piscina
21,45,Spa
21,46,Gimnasio
21,47,Spa
21,48,Cancha de tenis
21,49,Cancha de tenis
21,50,Salon de eventos
21,51,Salon de eventos
21,52,Salon de eventos
21,53,Spa
21,54,Area de juegos
21,55,Salon de eventos
21,56,Cancha de tenis
21,57,Salon de eventos
21,58,Salon de eventos
21,59,Piscina
21,60,Piscina
21,61,Salon de eventos
21,62,Gimnasio
21,63,Piscina
21,64,Cancha de tenis
21,65,Cancha de tenis
21,66,Spa
21,67,Gimnasio
21,68,Area de juegos
21,69,Piscina
21,70,Piscina
21,71,Gimnasio
21,72,Piscina
21,73,Area de juegos
21,74,Cancha de tenis
21,75,Salon de eventos
21,76,Cancha de tenis
21,77,Area de juegos
21,78,Area de juegos
21,79,Gimnasio
21,80,Salon de eventos
21,81,Gimnasio
21,82,Gimnasio
21,83,Salon de eventos
21,84,Salon de eventos
21,85,Gimnasio
21,86,Gimnasio
21,87,Area de juegos
21,88,Cancha de tenis
21,89,Area de juegos
21,90,Gimnasio
21,91,Area de juegos
21,92,Piscina
21,93,Salon de eventos
21,94,Spa
21,95,Spa
21,96,Cancha de tenis
21,97,Salon de eventos
21,98,Gimnasio
21,99,Piscina
21,100,Gimnasio
21,101,Spa
21,102,Salon de eventos
21,103,Piscina
21,104,Area de juegos
21,105,Cancha de tenis
21,106,Spa
21,107,Spa
21,108,Cancha de tenis
21,109,Salon de eventos
21,110,Spa
21,111,Spa
21,112,Cancha de tenis
21,113,Piscina
21,114,Area de juegos
21,115,Area de juegos
21,116,Cancha de tenis
21,117,Cancha de tenis
21,118,Area de juegos
21,119,Area de juegos
21,120,Piscina
21,121,Area de juegos
21,122,Piscina
21,123,Cancha de tenis
21,124,Piscina
21,125,Gimnasio
21,126,Cancha de tenis
21,127,Piscina
21,128,Cancha de tenis
21,129,Piscina
21,130,Gimnasio
21,131,Cancha de tenis
21,132,Area de juegos
21,133,Salon de eventos
21,134,Piscina
21,135,Spa
21,136,Gimnasio
21,137,Area de juegos
21,138,Salon de eventos
