IdHotel,NombreHotel,Direccion,NumeroTelefono,CorreoElectronico,SitioWeb,Descripcion,ClasificacionEstrellas,Provincia,Ciudad,Ubicacion,CostoNoche
21,Hotel I,033,428-613-9172,tbirk0@artisteer.com,www\.x+\.com,Cozy boutique hotel,3,Cartago,La Fortuna,ciudad,310.00
22,Hotel NN,739,593-344-4790,vscholtis1@mozilla.com,www\.7+\.com,Historic downtown hotel,5,Guanacaste,La Fortuna,ciudad,317.00
23,Hotel JJ,6738,804-992-9237,eties2@odnoklassniki.ru,www\.T+\.com,Luxurious beachfront resort,2,Guanacaste,Bella Vista,ciudad,460.00
24,Hotel WW,60104,347-255-5185,bpayler3@sohu.com,www\.p+\.com,Historic downtown hotel,1,Cartago,Bella Vista,ciudad,215.00
25,Hotel L,7,199-695-6096,jbottomore4@japanpost.jp,www\.q+\.com,Modern city center hotel,1,Limon,Liberia,ciudad,303.00
26,Hotel PP,8,565-490-2198,tohagerty5@squidoo.com,www\.9+\.com,Modern city center hotel,1,Guanacaste,Tamarindo,ciudad,746.00
27,Hotel V,0,570-649-8108,tsaile6@blogspot.com,www\.H+\.com,Charming countryside inn,5,Alajuela,Liberia,ciudad,116.00
28,Hotel Z,8363,448-438-7959,rwalshaw7@icio.us,www\.W+\.com,Cozy boutique hotel,3,Limon,Liberia,ciudad,181.00
29,Hotel D,31,714-225-4610,abestwerthick8@pen.io,www\.v+\.com,Cozy boutique hotel,1,Alajuela,Bella Vista,ciudad,168.00
30,Hotel P,984,677-208-3748,madamini9@goodreads.com,www\.2+\.com,Cozy boutique hotel,1,Limon,Manuel Antonio,ciudad,163.00
31,Hotel R,48,992-247-0343,mtirrella@free.fr,www\.3+\.com,Modern city center hotel,1,Alajuela,Liberia,ciudad,198.00
32,Hotel X,2,568-557-4109,osimkab@cdbaby.com,www\.M+\.com,Luxurious beachfront resort,4,Limon,Bella Vista,ciudad,343.00
33,Hotel UUU,3713,321-695-0209,ctrudgianc@marriott.com,www\.4+\.com,Cozy boutique hotel,3,Alajuela,Bella Vista,ciudad,345.00
34,Hotel PP,2629,812-159-1512,mvedekhovd@edublogs.org,www\.N+\.com,Luxurious beachfront resort,0,Alajuela,Tamarindo,ciudad,513.00
35,Hotel M,684,978-161-9296,jhammelle@pagesperso-orange.fr,www\.0+\.com,Cozy boutique hotel,4,Puntarenas,Manuel Antonio,ciudad,126.00
36,Hotel WW,19,963-935-3390,bcastanagaf@yellowbook.com,www\.L+\.com,Cozy boutique hotel,1,San Jose,Manuel Antonio,ciudad,389.00
37,Hotel TT,8395,430-452-4545,gsoulsbyg@tiny.cc,www\.b+\.com,Luxurious beachfront resort,1,Cartago,La Fortuna,ciudad,226.00
38,Hotel EE,977,848-408-9750,rleckenbyh@ask.com,www\.2+\.com,Modern city center hotel,5,Alajuela,La Fortuna,ciudad,928.00
39,Hotel EE,0,293-459-0199,ttenbrugi@salon.com,www\.d+\.com,Modern city center hotel,1,Guanacaste,Tamarindo,ciudad,154.00
40,Hotel WWW,662,282-504-8081,rsmewingsj@ycombinator.com,www\.y+\.com,Luxurious beachfront resort,1,Heredia,Tamarindo,ciudad,744.00
41,Hotel K,80809,698-573-9485,jengehamk@senate.gov,www\.8+\.com,Charming countryside inn,3,Guanacaste,Liberia,ciudad,697.00
42,Hotel VV,02903,943-385-8076,srandalsl@nymag.com,www\.S+\.com,Charming countryside inn,1,Guanacaste,La Fortuna,ciudad,115.00
43,Hotel RRR,11,586-738-9176,jcortesem@omniture.com,www\.6+\.com,Charming countryside inn,5,Alajuela,Manuel Antonio,ciudad,510.00
44,Hotel XXX,90,997-126-1635,dvamplersn@squarespace.com,www\.R+\.com,Luxurious beachfront resort,5,Alajuela,Manuel Antonio,ciudad,627.00
45,Hotel III,68293,653-275-7253,egiorgiettoo@bluehost.com,www\.5+\.com,Charming countryside inn,4,San Jose,La Fortuna,ciudad,222.00
46,Hotel OOO,32492,817-725-5489,hbouttonp@cdbaby.com,www\.5+\.com,Luxurious beachfront resort,5,Guanacaste,Bella Vista,ciudad,544.00
47,Hotel UU,8,910-266-6105,lbeddoq@discovery.com,www\.x+\.com,Modern city center hotel,2,San Jose,Tamarindo,ciudad,900.00
48,Hotel JJ,0631,603-129-8258,jgerrelsr@umn.edu,www\.y+\.com,Modern city center hotel,5,San Jose,La Fortuna,ciudad,164.00
49,Hotel TT,17590,,hkramers@shop-pro.jp,www\.O+\.com,Cozy boutique hotel,2,Limon,Bella Vista,ciudad,106.00
50,Hotel E,7,367-990-7573,dgiacaponit@indiegogo.com,www\.F+\.com,Luxurious beachfront resort,1,San Jose,Manuel Antonio,ciudad,201.00
51,Hotel VVV,638,803-971-7072,apriestleyu@baidu.com,www\.9+\.com,Historic downtown hotel,1,Puntarenas,Tamarindo,ciudad,741.00
52,Hotel YY,85,969-763-0433,twimbridgev@imgur.com,www\.C+\.com,Historic downtown hotel,4,San Jose,Bella Vista,ciudad,767.00
53,Hotel A,6240,823-659-1006,hrosendallw@reverbnation.com,www\.7+\.com,Modern city center hotel,4,Heredia,Manuel Antonio,ciudad,116.00
54,Hotel HH,76625,239-771-5826,gthickpennyx@imdb.com,www\.2+\.com,Luxurious beachfront resort,4,Limon,Bella Vista,ciudad,883.00
55,Hotel TTT,1,637-208-3045,bonearyy@mashable.com,www\.3+\.com,Historic downtown hotel,5,Guanacaste,Bella Vista,ciudad,159.00
56,Hotel A,19,440-377-4324,eprattez@sina.com.cn,www\.5+\.com,Historic downtown hotel,1,Heredia,Liberia,ciudad,691.00
57,Hotel QQQ,92971,784-843-1962,mpriddey10@rediff.com,www\.L+\.com,Historic downtown hotel,5,Limon,La Fortuna,ciudad,822.00
58,Hotel HH,6391,572-390-7678,bcash11@disqus.com,www\.e+\.com,Historic downtown hotel,3,Guanacaste,Tamarindo,ciudad,435.00
59,Hotel HH,2538,888-132-2833,bbazoche12@sciencedaily.com,www\.W+\.com,Luxurious beachfront resort,4,Alajuela,Tamarindo,ciudad,832.00
60,Hotel ZZZ,18610,163-402-5368,ggantzman13@theatlantic.com,www\.V+\.com,Modern city center hotel,5,San Jose,La Fortuna,ciudad,741.00
61,Hotel J,435,294-896-1664,dcumbers14@seesaa.net,www\.m+\.com,Historic downtown hotel,5,Heredia,Bella Vista,ciudad,549.00
62,Hotel Y,1,262-702-7090,rmccarrick15@hugedomains.com,www\.X+\.com,Charming countryside inn,5,Puntarenas,La Fortuna,ciudad,206.00
63,Hotel TTT,599,466-736-0148,jroyds16@ezinearticles.com,www\.f+\.com,Charming countryside inn,3,San Jose,Tamarindo,ciudad,354.00
64,Hotel CCC,83914,950-360-2458,jcampione17@gov.uk,www\.H+\.com,Cozy boutique hotel,5,Puntarenas,Manuel Antonio,ciudad,229.00
65,Hotel M,2,985-541-9412,rbutts18@rediff.com,www\.h+\.com,Historic downtown hotel,1,San Jose,Bella Vista,ciudad,897.00
66,Hotel P,08745,345-711-5715,canear19@shutterfly.com,www\.7+\.com,Charming countryside inn,5,Cartago,Bella Vista,ciudad,844.00
67,Hotel X,8,861-825-3857,hwoodson1a@cmu.edu,www\.O+\.com,Cozy boutique hotel,1,San Jose,Manuel Antonio,ciudad,449.00
68,Hotel AA,00,955-634-9494,cbosher1b@globo.com,www\.e+\.com,Luxurious beachfront resort,1,Cartago,Tamarindo,ciudad,499.00
69,Hotel XXX,25414,570-455-7809,bfanstone1c@so-net.ne.jp,www\.5+\.com,Modern city center hotel,1,Puntarenas,Bella Vista,ciudad,510.00
70,Hotel G,988,878-302-2640,grosbotham1d@princeton.edu,www\.6+\.com,Cozy boutique hotel,5,Puntarenas,Bella Vista,ciudad,789.00
